Capital,State,Capital,State,Miles,Seconds
Jefferson City,MO,Boston,MA,1308,71127
Jefferson City,MO,Annapolis,MD,972,53466
Jefferson City,MO,Augusta,ME 04330,1461,79056
Jefferson City,MO,Lansing,MI,583,32816
Jefferson City,MO,St Paul,MN,503,28343
Jefferson City,MO,Jackson,MS,545,31681
Jackson,MS,Montgomery,AL,247,14452
Jackson,MS,Little Rock,AR,262,15219
Jackson,MS,Phoenix,AZ,1470,76175
Jackson,MS,Sacramento,CA,2131,112934
Jackson,MS,Denver,CO,1226,64473
Jackson,MS,Hartford,CT,1319,70608
Jackson,MS,Dover,DE,1078,57956
Jackson,MS,Tallahassee,FL,436,24309
Jackson,MS,Atlanta,GA,382,20053
Jackson,MS,Des Moines,IA,815,44225
Jackson,MS,Boise,ID,2030,106288
Jackson,MS,Springfield,IL,586,30758
Jackson,MS,Indianapolis,IN,672,35494
Jackson,MS,Topeka,KS,714,39624
Jackson,MS,Frankfort,KY 40601,622,33151
Jackson,MS,Baton Rouge,LA,175,9370
Jackson,MS,Boston,MA,1418,76187
Jackson,MS,Annapolis,MD,1017,54044
Jackson,MS,Augusta,ME 04330,1571,84116
Jackson,MS,Lansing,MI,923,48970
Jackson,MS,St Paul,MN,1007,55161
Helena,MT,Montgomery,AL,2038,109476
Helena,MT,Little Rock,AR,1680,88538
Helena,MT,Phoenix,AZ,1144,61299
Helena,MT,Sacramento,CA,1013,53786
Helena,MT,Denver,CO,792,41212
Helena,MT,Hartford,CT,2335,125116
Helena,MT,Dover,DE,2228,120049
Helena,MT,Tallahassee,FL,2249,122658
Helena,MT,Atlanta,GA,2055,108924
Helena,MT,Des Moines,IA,1177,62107
Helena,MT,Boise,ID,488,27004
Helena,MT,Springfield,IL,1492,79284
Helena,MT,Indianapolis,IN,1632,86604
Helena,MT,Topeka,KS,1236,66491
Helena,MT,Frankfort,KY 40601,1800,95618
Helena,MT,Baton Rouge,LA,1994,106180
Helena,MT,Boston,MA,2429,130081
Helena,MT,Annapolis,MD,2167,116137
Helena,MT,Augusta,ME 04330,2582,138010
Helena,MT,Lansing,MI,1670,88578
Helena,MT,St Paul,MN,1049,55750
Helena,MT,Jefferson City,MO,1412,74943
Helena,MT,Jackson,MS,1914,103218
Raleigh,NC,Montgomery,AL,566,30584
Raleigh,NC,Little Rock,AR,886,47765
Raleigh,NC,Phoenix,AZ,2175,115339
Raleigh,NC,Sacramento,CA,2790,147831
Raleigh,NC,Denver,CO,1672,88764
Raleigh,NC,Hartford,CT,625,34695
Raleigh,NC,Dover,DE,373,21018
Raleigh,NC,Tallahassee,FL,618,31993
Raleigh,NC,Atlanta,GA,405,22135
Raleigh,NC,Des Moines,IA,1101,60465
Raleigh,NC,Boise,ID,2438,129117
Raleigh,NC,Springfield,IL,837,46836
Raleigh,NC,Indianapolis,IN,628,35295
Raleigh,NC,Topeka,KS,1132,61209
Raleigh,NC,Frankfort,KY 40601,516,28914
Raleigh,NC,Baton Rouge,LA,931,49167
Raleigh,NC,Boston,MA,723,40274
Raleigh,NC,Annapolis,MD,313,17106
Raleigh,NC,Augusta,ME 04330,877,48204
Raleigh,NC,Lansing,MI,732,41334
Raleigh,NC,St Paul,MN,1208,65720
Raleigh,NC,Jefferson City,MO,954,51930
Raleigh,NC,Jackson,MS,787,42169
Raleigh,NC,Helena,MT,2255,121044
Raleigh,NC,Lincoln,NE,1265,69049
Raleigh,NC,Concord,NH,772,42714
Raleigh,NC,Trenton,NJ,452,24992
Raleigh,NC,Santa Fe,NM,1748,92093
Raleigh,NC,Carson City,NV,2686,141768
Raleigh,NC,Albany,NY,648,35431
Bismarck,ND,Montgomery,AL,1588,82555
Bismarck,ND,Little Rock,AR,1212,62471
Bismarck,ND,Phoenix,AZ,1480,82057
Bismarck,ND,Sacramento,CA,1492,79531
Bismarck,ND,Denver,CO,695,38056
Bismarck,ND,Hartford,CT,1724,92362
Bismarck,ND,Dover,DE,1617,87295
Bismarck,ND,Tallahassee,FL,1800,95737
Bismarck,ND,Atlanta,GA,1555,81356
Bismarck,ND,Des Moines,IA,670,34876
Bismarck,ND,Boise,ID,1026,54073
Bismarck,ND,Springfield,IL,953,49857
Bismarck,ND,Indianapolis,IN,1021,53850
Bismarck,ND,Topeka,KS,768,40424
Bismarck,ND,Frankfort,KY 40601,1189,62864
Bismarck,ND,Baton Rouge,LA,1552,84108
Bismarck,ND,Boston,MA,1818,97327
Bismarck,ND,Annapolis,MD,1556,83382
Bismarck,ND,Augusta,ME 04330,1971,105256
Bismarck,ND,Lansing,MI,1059,55824
Bismarck,ND,St Paul,MN,438,22995
Bismarck,ND,Jefferson City,MO,944,48876
Bismarck,ND,Jackson,MS,1446,77151
Bismarck,ND,Helena,MT,613,33192
Bismarck,ND,Raleigh,NC,1647,88502
Bismarck,ND,Lincoln,NE,663,33698
Bismarck,ND,Concord,NH,1795,98886
Bismarck,ND,Trenton,NJ,1611,85800
Bismarck,ND,Santa Fe,NM,1042,57449
Bismarck,ND,Carson City,NV,1389,73468
Bismarck,ND,Albany,NY,1652,88173
Lincoln,NE,Montgomery,AL,979,54124
Lincoln,NE,Little Rock,AR,621,33186
Lincoln,NE,Phoenix,AZ,1250,68371
Lincoln,NE,Sacramento,CA,1527,79382
Lincoln,NE,Denver,CO,485,24821
Lincoln,NE,Hartford,CT,1397,75416
Lincoln,NE,Dover,DE,1290,70349
Lincoln,NE,Tallahassee,FL,1190,67306
Lincoln,NE,Atlanta,GA,995,53572
Lincoln,NE,Des Moines,IA,190,10203
Lincoln,NE,Boise,ID,1175,60669
Lincoln,NE,Springfield,IL,432,23932
Lincoln,NE,Indianapolis,IN,643,35342
Lincoln,NE,Topeka,KS,168,10363
Lincoln,NE,Frankfort,KY 40601,753,40973
Lincoln,NE,Baton Rouge,LA,960,54823
Lincoln,NE,Boston,MA,1491,80381
Lincoln,NE,Annapolis,MD,1230,66436
Lincoln,NE,Augusta,ME 04330,1645,88310
Lincoln,NE,Lansing,MI,724,38751
Lincoln,NE,St Paul,MN,437,22899
Lincoln,NE,Jefferson City,MO,352,19591
Lincoln,NE,Jackson,MS,855,47866
Lincoln,NE,Helena,MT,1088,57848
Concord,NH,Montgomery,AL,1286,70268
Concord,NH,Little Rock,AR,1504,80989
Concord,NH,Phoenix,AZ,2631,142927
Concord,NH,Sacramento,CA,2993,161007
Concord,NH,Denver,CO,1952,106446
Concord,NH,Hartford,CT,151,8494
Concord,NH,Dover,DE,431,24353
Concord,NH,Tallahassee,FL,1357,72697
Concord,NH,Atlanta,GA,1125,61819
Concord,NH,Des Moines,IA,1281,72425
Concord,NH,Boise,ID,2642,142294
Concord,NH,Springfield,IL,1138,64993
Concord,NH,Indianapolis,IN,930,53335
Concord,NH,Topeka,KS,1476,82112
Concord,NH,Frankfort,KY 40601,941,54563
Concord,NH,Baton Rouge,LA,1633,87629
Concord,NH,Boston,MA,67.5,3930
Concord,NH,Annapolis,MD,473,26966
Concord,NH,Augusta,ME 04330,163,8936
Concord,NH,Lansing,MI,756,44597
Concord,NH,St Paul,MN,1360,76396
Concord,NH,Jefferson City,MO,1298,72833
Concord,NH,Jackson,MS,1470,79285
Concord,NH,Helena,MT,2407,131720
Concord,NH,Lincoln,NE,1470,82280
Concord,NH,Carson City,NV,2890,154944
Trenton,NJ,Montgomery,AL,968,52430
Trenton,NJ,Little Rock,AR,1190,63359
Trenton,NJ,Phoenix,AZ,2365,126128
Trenton,NJ,Sacramento,CA,2809,147757
Trenton,NJ,Denver,CO,1750,92868
Trenton,NJ,Hartford,CT,183,11068
Trenton,NJ,Dover,DE,112,6515
Trenton,NJ,Tallahassee,FL,1038,54859
Trenton,NJ,Atlanta,GA,807,43981
Trenton,NJ,Des Moines,IA,1097,59174
Trenton,NJ,Boise,ID,2458,129043
Trenton,NJ,Springfield,IL,872,48077
Trenton,NJ,Indianapolis,IN,663,36536
Trenton,NJ,Topeka,KS,1209,65312
Trenton,NJ,Frankfort,KY 40601,676,37105
Trenton,NJ,Baton Rouge,LA,1320,70000
Trenton,NJ,Boston,MA,281,16647
Trenton,NJ,Annapolis,MD,154,9128
Trenton,NJ,Augusta,ME 04330,435,24576
Trenton,NJ,Lansing,MI,668,35992
Trenton,NJ,St Paul,MN,1176,63146
Trenton,NJ,Jefferson City,MO,1032,56033
Trenton,NJ,Jackson,MS,1156,61655
Trenton,NJ,Helena,MT,2223,118470
Trenton,NJ,Lincoln,NE,1286,69029
Trenton,NJ,Concord,NH,330,19086
Trenton,NJ,Carson City,NV,2706,141694
Santa Fe,NM,Montgomery,AL,1332,69150
Santa Fe,NM,Little Rock,AR,872,45343
Santa Fe,NM,Phoenix,AZ,482,26931
Santa Fe,NM,Sacramento,CA,1141,61201
Santa Fe,NM,Denver,CO,392,20795
Santa Fe,NM,Hartford,CT,2111,112276
Santa Fe,NM,Dover,DE,1937,104209
Santa Fe,NM,Tallahassee,FL,1472,79541
Santa Fe,NM,Atlanta,GA,1390,72352
Santa Fe,NM,Des Moines,IA,955,52323
Santa Fe,NM,Boise,ID,963,53766
Santa Fe,NM,Springfield,IL,1071,58738
Santa Fe,NM,Indianapolis,IN,1274,67030
Santa Fe,NM,Topeka,KS,691,39185
Santa Fe,NM,Frankfort,KY 40601,1344,70735
Santa Fe,NM,Baton Rouge,LA,1049,57093
Santa Fe,NM,Boston,MA,2212,117957
Santa Fe,NM,Annapolis,MD,1876,100296
Santa Fe,NM,Augusta,ME 04330,2365,125886
Santa Fe,NM,Lansing,MI,1461,79618
Santa Fe,NM,St Paul,MN,1202,64981
Santa Fe,NM,Jefferson City,MO,892,49974
Santa Fe,NM,Jackson,MS,1039,55746
Santa Fe,NM,Helena,MT,1182,61115
Santa Fe,NM,Lincoln,NE,777,43187
Santa Fe,NM,Concord,NH,2204,119714
Santa Fe,NM,Trenton,NJ,1938,103093
Santa Fe,NM,Carson City,NV,1068,58111
Carson City,NV,Montgomery,AL,2345,123461
Carson City,NV,Little Rock,AR,1885,99653
Carson City,NV,Phoenix,AZ,731,41815
Carson City,NV,Sacramento,CA,130,9312
Carson City,NV,Denver,CO,991,55796
Carson City,NV,Hartford,CT,2814,148448
Carson City,NV,Dover,DE,2707,143381
Carson City,NV,Tallahassee,FL,2485,133851
Carson City,NV,Atlanta,GA,2414,126787
Carson City,NV,Des Moines,IA,1606,83235
Carson City,NV,Boise,ID,450,25153
Carson City,NV,Springfield,IL,1851,97147
Carson City,NV,Indianapolis,IN,2082,108568
Carson City,NV,Topeka,KS,1588,82701
Carson City,NV,Frankfort,KY 40601,2172,114188
Carson City,NV,Baton Rouge,LA,2062,111403
Carson City,NV,Boston,MA,2907,153413
Carson City,NV,Annapolis,MD,2646,139468
Carson City,NV,Augusta,ME 04330,3061,161342
Carson City,NV,Lansing,MI,2140,111784
Carson City,NV,St Paul,MN,1793,94089
Carson City,NV,Jefferson City,MO,1771,92806
Carson City,NV,Jackson,MS,2052,110056
Carson City,NV,Helena,MT,910,47822
Carson City,NV,Lincoln,NE,1421,73787
Albany,NY,Montgomery,AL,1171,62596
Albany,NY,Little Rock,AR,1338,71480
Albany,NY,Phoenix,AZ,2489,132200
Albany,NY,Sacramento,CA,2852,150280
Albany,NY,Denver,CO,1810,95718
Albany,NY,Hartford,CT,112,6390
Albany,NY,Dover,DE,307,16890
Albany,NY,Tallahassee,FL,1232,65234
Albany,NY,Atlanta,GA,1004,54404
Albany,NY,Des Moines,IA,1140,61698
Albany,NY,Boise,ID,2500,131566
Albany,NY,Springfield,IL,996,54265
Albany,NY,Indianapolis,IN,788,42608
Albany,NY,Topeka,KS,1334,71384
Albany,NY,Frankfort,KY 40601,800,43836
Albany,NY,Baton Rouge,LA,1486,79030
Albany,NY,Boston,MA,169,9696
Albany,NY,Annapolis,MD,348,19503
Albany,NY,Augusta,ME 04330,323,17625
Albany,NY,Lansing,MI,614,33869
Albany,NY,St Paul,MN,1218,65669
Albany,NY,Jefferson City,MO,1157,62105
Albany,NY,Jackson,MS,1323,70686
Albany,NY,Helena,MT,2265,120993
Albany,NY,Lincoln,NE,1328,71553
Albany,NY,Concord,NH,148,11332
Albany,NY,Trenton,NJ,204,11539
